# Generated from Mascinissa/LOOPerSet using generate_looperset_training_data.py
memory_size,loop_depth,total_trip_count,has_parametric_bounds,num_computations,num_reduction_computations,num_buffers,total_accesses,max_access_offset,program_name,target_loop_levels,target_parameters,log_speedup
5.0078125,3,1342177280.0,0,1,1,1,3,1,function552277,[2],[4],1.530498
5.0078125,3,1342177280.0,0,1,1,1,3,1,function552277,[2],[8],1.530460
5.0078125,3,1342177280.0,0,1,1,1,3,1,function552277,[2],[16],1.530549
2.09375,3,262144.0,0,1,1,2,4,1,function677381,[2],[4],-0.184135
2.09375,3,262144.0,0,1,1,2,4,1,function677381,[2],[8],-0.188837
2.09375,3,262144.0,0,1,1,2,4,1,function677381,[2],[16],0.036740
2.015655517578125,3,67108864.0,0,1,1,1,9,1,function640072,[2],[4],0.409882
2.015655517578125,3,67108864.0,0,1,1,1,9,1,function640072,[2],[8],0.542097
2.015655517578125,3,67108864.0,0,1,1,1,9,1,function640072,[2],[16],0.612062
12.21875,4,67108864.0,0,2,2,3,5,1,function822775,[3],[4],-0.008628
12.21875,4,67108864.0,0,2,2,3,5,1,function822775,[3],[8],-0.024679
12.21875,4,67108864.0,0,2,2,3,5,1,function822775,[3],[16],0.046596
12.031280517578125,3,301989888.0,0,2,2,3,8,1,function809621,[2],[4],0.571127
12.031280517578125,3,301989888.0,0,2,2,3,8,1,function809621,[2],[8],0.570618
12.031280517578125,3,301989888.0,0,2,2,3,8,1,function809621,[2],[16],0.567885
0.12943267822265625,2,8192.0,0,2,0,2,13,1,function761266,[1],[4],-0.079823
0.12943267822265625,2,8192.0,0,2,0,2,13,1,function761266,[1],[8],0.072279
0.12943267822265625,2,8192.0,0,2,0,2,13,1,function761266,[1],[16],0.098954
0.0634765625,2,8192.0,0,1,0,1,3,1,function821143,[1],[4],-0.505879
0.0634765625,2,8192.0,0,1,0,1,3,1,function821143,[1],[8],-0.535196
0.0634765625,2,8192.0,0,1,0,1,3,1,function821143,[1],[16],-0.478706
0.27466583251953125,3,32768.0,0,1,1,4,5,1,function550545,[2],[4],-0.145745
0.27466583251953125,3,32768.0,0,1,1,4,5,1,function550545,[2],[8],-0.121478
0.27466583251953125,3,32768.0,0,1,1,4,5,1,function550545,[2],[16],-0.061340
6.009765625,3,167772160.0,0,2,2,3,5,0,function835028,[2],[4],0.545698
6.009765625,3,167772160.0,0,2,2,3,5,0,function835028,[2],[8],0.246602
6.009765625,3,167772160.0,0,2,2,3,5,0,function835028,[2],[16],0.176197
0.7578125,3,32768.0,0,1,1,4,4,0,function711302,[2],[4],-0.194596
0.7578125,3,32768.0,0,1,1,4,4,0,function711302,[2],[8],-0.209594
0.7578125,3,32768.0,0,1,1,4,4,0,function711302,[2],[16],-0.055161
1.03173828125,3,131072.0,0,1,1,3,4,0,function625715,[2],[4],-0.166472
1.03173828125,3,131072.0,0,1,1,3,4,0,function625715,[2],[8],-0.021400
1.03173828125,3,131072.0,0,1,1,3,4,0,function625715,[2],[16],0.078804
0.265625,3,32768.0,0,1,1,3,3,0,function620275,[2],[4],0.414755
0.265625,3,32768.0,0,1,1,3,3,0,function620275,[2],[8],0.544489
128.0625,3,16777216.0,0,1,1,2,2,0,function550615,[2],[4],-0.037048
128.0625,3,16777216.0,0,1,1,2,2,0,function550615,[2],[8],-0.270372
0.008819580078125,3,32768.0,0,1,1,1,14,1,function673383,[2],[4],0.025099
0.008819580078125,3,32768.0,0,1,1,1,14,1,function673383,[2],[8],0.065451
0.008819580078125,3,32768.0,0,1,1,1,14,1,function673383,[2],[16],0.204311
2.03173828125,3,262144.0,0,1,1,2,3,1,function674640,[2],[4],-0.132310
2.03173828125,3,262144.0,0,1,1,2,3,1,function674640,[2],[8],-0.005955
2.03173828125,3,262144.0,0,1,1,2,3,1,function674640,[2],[16],-0.126726
0.0009918212890625,2,8192.0,0,1,1,1,3,1,function822629,[1],[4],-0.349194
0.0009918212890625,2,8192.0,0,1,1,1,3,1,function822629,[1],[8],-0.432657
0.0009918212890625,2,8192.0,0,1,1,1,3,1,function822629,[1],[16],-0.432705
128.001953125,3,16777216.0,0,1,0,2,3,0,function818524,[2],[4],-0.016597
128.001953125,3,16777216.0,0,1,0,2,3,0,function818524,[2],[8],-0.003944
128.001953125,3,16777216.0,0,1,0,2,3,0,function818524,[2],[16],-0.016376
7.529327392578125,3,201326592.0,0,2,2,2,6,1,function791332,[2],[4],0.462423
7.529327392578125,3,201326592.0,0,2,2,2,6,1,function791332,[2],[8],0.441478
7.529327392578125,3,201326592.0,0,2,2,2,6,1,function791332,[2],[16],0.489499
522.0528182983398,3,33554432.0,0,2,2,6,12,1,function780049,[2],[4],0.445192
522.0528182983398,3,33554432.0,0,2,2,6,12,1,function780049,[2],[8],0.491894
522.0528182983398,3,33554432.0,0,2,2,6,12,1,function780049,[2],[16],0.567369
522.0528182983398,3,33554432.0,0,2,2,6,12,1,function780049,[2],[4],0.588947
522.0528182983398,3,33554432.0,0,2,2,6,12,1,function780049,[2],[8],0.591922
522.0528182983398,3,33554432.0,0,2,2,6,12,1,function780049,[2],[16],0.589723
1.015625,3,131072.0,0,1,1,2,3,0,function685361,[2],[4],-0.218128
1.015625,3,131072.0,0,1,1,2,3,0,function685361,[2],[8],-0.009663
1.015625,3,131072.0,0,1,1,2,3,0,function685361,[2],[16],0.115319
0.03347015380859375,2,4096.0,0,2,1,3,4,1,function768587,[1],[4],0.454926
0.03347015380859375,2,4096.0,0,2,1,3,4,1,function768587,[1],[8],0.457276
0.03347015380859375,2,4096.0,0,2,1,3,4,1,function768587,[1],[16],0.448141
0.00051116943359375,2,2048.0,0,2,2,2,5,1,function822887,[1],[4],0.048460
